mean_hr_post,rmssd_post,gsr_change_pct,delta_hr,mean_eeg_af7_post,participant_id,label
0.028645065923501533,-0.08095032470259866,-0.011106496412412525,-0.05998570329406903,0.025373297404894402,P003,0
0.09171557211648178,0.0349421935193277,0.058569584222095725,-0.016468542723168868,0.060363904255791564,P003,1
0.017074572798082954,-0.08297273361758925,-0.011530040390880458,-0.043866021021631244,0.026669918161496754,P003,0
0.05400564029532688,0.06564846272749492,0.07069708228391391,-0.02168257131684186,0.09529773941776512,P003,1
0.017536343748179205,-0.04174950137212363,0.008185369187685865,-0.030388315752088602,0.028809889261719946,P003,0
0.07911681756659164,0.04180487196017566,0.07176665917186256,0.012260593392034025,-0.0812426491494989,P003,1
0.051268877700749727,0.019054753131786128,0.045835318748959256,0.04862342813498799,-0.05406955139660567,P003,0
0.04048776128320242,-0.026708002812847555,0.033779329022036106,0.04262898125612082,0.08308880155054794,P003,0
0.06929782178904134,0.07606432904776739,0.0631315109978459,0.0670240429846217,0.08975017830243814,P003,1
0.07331934000249021,0.08381965088010475,0.0556509145131713,0.07495746669205801,0.09574328625776615,P003,1
0.06535123453234064,0.015029593159761134,0.05170723398741757,0.018857427483499122,0.10988834752288312,P003,1
0.06969152100173233,0.05802020588080268,0.07492839595215628,0.06763196809129113,0.10487443826359595,P003,1
0.06332598103763303,0.07624690253069275,0.070482812877799,0.058878833525113805,0.12058402480934091,P003,1
0.03543456328384309,0.011086554781195445,-0.03951625307377071,-0.017989308443770825,-0.1362471032907706,P003,0
0.039516611772614854,-0.06882814406808394,0.032900951007013644,-0.02020085317030862,-0.0709252905804533,P003,0
0.07293661073053954,0.05304398161606514,0.07799872401237735,0.060525107283638135,-0.05526913584290014,P003,1
0.03418892392169255,0.015287720924061433,-0.027369217477917117,0.0243788693938086,-0.13766964125461528,P003,0
0.028238738091704362,-0.0030918926490812737,-0.04429845373124408,-0.0252695960446772,-0.09818936030478653,P003,0
-0.024344948155248857,-0.03509748625801876,-0.06699437177280743,0.010213027990675982,-0.10005713093205486,P004,0
-0.05434118731182025,-0.024197420501968735,-0.06501396686244335,0.024329679417678562,0.08942894403162427,P004,0
-0.015005733913403674,-0.0351566641728823,-0.027680702098314212,-0.007897311928809358,0.04613186615497398,P004,0
-0.05316955774351299,-0.038418291074231094,-0.06472476888316123,0.01304438231795757,-0.10106468612011668,P004,0
-0.028419328052359562,-0.01340185978278896,-0.0518742644519989,-0.0018277874370596693,0.05926349648434552,P004,0
-0.009752520047823055,-0.005060636576945399,-0.06314962072274284,0.03839879782226489,0.11097477091134351,P004,0
-0.01821383666820111,-0.03720931000107157,-0.06400683461533845,-0.008358571890767053,0.05277104510150821,P004,0
-0.027537130911241547,-0.044057114581300995,-0.04291638391382548,-0.047074030356816364,-0.07755552386506678,P004,0
-0.013627434278805594,-0.037391965026381514,-0.061233434373116326,0.025963181410224932,0.10611735863622015,P004,0
-0.011473516937894602,-0.03384253723297661,-0.06318677033114,-0.07684910460475294,0.08135782853460113,P004,0
-0.011822705639224296,-0.010598078796101617,0.014303508758985117,0.05689746181215014,0.08583862433679315,P004,1
